,Owner,No_BHK,Location,price,sqfeet
1312,VERIFIED OWNER,Residential Plot,Shamshabad, 80 L,"1,777 / sq ft"
1313,VERIFIED OWNER,Residential Plot,Maheshwaram, 38.4 L,"2,560 / sq ft"
1314,VERIFIED OWNER,Residential Plot,Alampally, 12 L,728 / sq ft
1315,VERIFIED OWNER,Residential Plot,Bibinagar, 21 L,"1,555 / sq ft"
1316,VERIFIED OWNER,Residential Plot,Bhuvanagiri, 9 L,666 / sq ft
1317,VERIFIED OWNER,Residential Plot,Rudraram, 26 L,"1,444 / sq ft"
1318,VERIFIED OWNER,Residential Plot,Kadthal, 21 L,"1,166 / sq ft"
1319,AGENT,3 BHK Apartment,Serilingampally, 1.48 Cr,"9,100 / sq ft"
1320,AGENT,3 BHK Apartment,Serilingampally, 1.36 Cr,"9,100 / sq ft"
1321,AGENT,3 BHK Apartment,Serilingampally, 1.49 Cr,"9,100 / sq ft"
1322,AGENT,3 BHK Apartment,Serilingampally, 1.77 Cr,"9,100 / sq ft"
1323,AGENT,3 BHK Apartment,Serilingampally, 1.53 Cr,"9,100 / sq ft"
1324,AGENT,3 BHK Apartment,Serilingampally, 1.71 Cr,"9,100 / sq ft"
1325,AGENT,3 BHK Apartment,Serilingampally, 1.72 Cr,"9,100 / sq ft"
1326,AGENT,3 BHK Apartment,Serilingampally, 1.36 Cr,"9,100 / sq ft"
1327,AGENT,3 BHK Apartment,Serilingampally, 1.72 Cr,"9,100 / sq ft"
1328,AGENT,3 BHK Apartment,Serilingampally, 1.36 Cr,"9,100 / sq ft"
1329,AGENT,3 BHK Apartment,Serilingampally, 1.44 Cr,"9,100 / sq ft"
1330,AGENT,3 BHK Apartment,Serilingampally, 1.68 Cr,"9,100 / sq ft"
1331,AGENT,3 BHK Apartment,Serilingampally, 1.69 Cr,"9,100 / sq ft"
1332,AGENT,3 BHK Apartment,Serilingampally, 1.51 Cr,"9,100 / sq ft"
1333,AGENT,2 BHK Apartment,Kukatpally, 71 L,"6,454 / sq ft"
1334,AGENT,3 BHK Apartment,Mansoorabad, 76.55 L,"5,003 / sq ft"
1335,AGENT,3 BHK Villa,Pasumamula, 1.7 Cr,"6,500 / sq ft"
1336,AGENT,3 BHK Villa,Pasumamula, 1.7 Cr,"6,500 / sq ft"
1337,AGENT,3 BHK Apartment,Miyapur, 62 L,"3,753 / sq ft"
1338,AGENT,3 BHK Apartment,Miyapur, 61 L,"3,692 / sq ft"
1339,AGENT,3 BHK Apartment,Chandanagar, 68 L,"4,121 / sq ft"
1340,AGENT,3 BHK Apartment,Tukkuguda, 63.22 L,"4,500 / sq ft"
1341,AGENT,3 BHK Apartment,Tukkuguda, 63.22 L,"4,500 / sq ft"
1342,AGENT,3 BHK Apartment,Tukkuguda, 70.87 L,"4,500 / sq ft"
1343,AGENT,3 BHK Apartment,Tukkuguda, 70.87 L,"4,500 / sq ft"
1344,AGENT,3 BHK Apartment,Tukkuguda, 67.95 L,"4,500 / sq ft"
1345,AGENT,3 BHK Apartment,Tukkuguda, 67.95 L,"4,500 / sq ft"
1346,AGENT,2 BHK Apartment,Tukkuguda, 55.8 L,"4,500 / sq ft"
1347,AGENT,2 BHK Apartment,Tukkuguda, 55.8 L,"4,500 / sq ft"
1348,AGENT,2 BHK Apartment,Tukkuguda, 63.67 L,"4,500 / sq ft"
1349,AGENT,2 BHK Apartment,Tukkuguda, 63.67 L,"4,500 / sq ft"
1350,AGENT,3 BHK Apartment,Tukkuguda, 75.6 L,"4,500 / sq ft"
1351,AGENT,3 BHK Apartment,Tukkuguda, 75.6 L,"4,500 / sq ft"
1352,AGENT,2 BHK Apartment,Tukkuguda, 62.55 L,"4,500 / sq ft"
1353,AGENT,2 BHK Apartment,Tukkuguda, 62.55 L,"4,500 / sq ft"
1354,AGENT,3 BHK Apartment,Tukkuguda, 64.12 L,"4,500 / sq ft"
1355,AGENT,3 BHK Apartment,Tukkuguda, 64.12 L,"4,500 / sq ft"
1356,AGENT,2 BHK Apartment,Tukkuguda, 57.15 L,"4,500 / sq ft"
1357,AGENT,2 BHK Apartment,Tukkuguda, 57.15 L,"4,500 / sq ft"
1358,AGENT,2 BHK Apartment,Tukkuguda, 58.5 L,"4,500 / sq ft"
1359,AGENT,2 BHK Apartment,Tukkuguda, 58.5 L,"4,500 / sq ft"
1360,AGENT,3 BHK Apartment,Miyapur, 60 L,"3,636 / sq ft"
1361,AGENT,3 BHK Apartment,Pocharam, 86.15 L,"4,700 / sq ft"
1362,AGENT,3 BHK Apartment,Pocharam, 91.27 L,"4,700 / sq ft"
1363,AGENT,3 BHK Apartment,Pocharam, 86.15 L,"4,700 / sq ft"
1364,AGENT,3 BHK Apartment,Pocharam, 91.27 L,"4,700 / sq ft"
1365,AGENT,2 BHK Apartment,Pocharam, 63.82 L,"4,700 / sq ft"
1366,AGENT,2 BHK Apartment,Pocharam, 63.82 L,"4,700 / sq ft"
1367,AGENT,3 BHK Apartment,Pocharam, 87.23 L,"4,700 / sq ft"
1368,AGENT,3 BHK Apartment,Pocharam, 87.23 L,"4,700 / sq ft"
1369,AGENT,3 BHK Apartment,Pocharam, 76.28 L,"4,700 / sq ft"
1370,AGENT,3 BHK Apartment,Pocharam, 76.28 L,"4,700 / sq ft"
1371,AGENT,2 BHK Apartment,Pocharam, 64.1 L,"4,700 / sq ft"
1372,AGENT,2 BHK Apartment,Pocharam, 64.1 L,"4,700 / sq ft"
1373,AGENT,3 BHK Apartment,Kollur, 1.21 Cr,"5,000 / sq ft"
1374,AGENT,3 BHK Apartment,Kollur, 1.21 Cr,"5,000 / sq ft"
1375,AGENT,3 BHK Apartment,Kollur, 1.21 Cr,"5,000 / sq ft"
1376,AGENT,3 BHK Apartment,Kollur, 1.21 Cr,"5,000 / sq ft"
1377,AGENT,3 BHK Apartment,Kollur, 75.5 L,"5,000 / sq ft"
1378,AGENT,3 BHK Apartment,Kollur, 75.5 L,"5,000 / sq ft"
1379,AGENT,3 BHK Apartment,Kollur, 1.02 Cr,"5,000 / sq ft"
1380,AGENT,3 BHK Apartment,Kollur, 1.02 Cr,"5,000 / sq ft"
1381,AGENT,3 BHK Apartment,Kollur, 86 L,"5,000 / sq ft"
1382,AGENT,3 BHK Apartment,Kollur, 86 L,"5,000 / sq ft"
1383,AGENT,3 BHK Apartment,Kollur, 1.13 Cr,"5,000 / sq ft"
1384,AGENT,3 BHK Apartment,Kollur, 1.13 Cr,"5,000 / sq ft"
1385,AGENT,3 BHK Apartment,Kollur, 94.5 L,"5,000 / sq ft"
1386,AGENT,3 BHK Apartment,Kollur, 94.5 L,"5,000 / sq ft"
1387,AGENT,3 BHK Apartment,Kollur, 1.16 Cr,"5,000 / sq ft"
1388,AGENT,3 BHK Apartment,Kollur, 1.16 Cr,"5,000 / sq ft"
1389,AGENT,3 BHK Apartment,Kollur, 79.5 L,"5,000 / sq ft"
1390,AGENT,3 BHK Apartment,Kollur, 79.5 L,"5,000 / sq ft"
1391,AGENT,3 BHK Apartment,Kollur, 1.26 Cr,"5,000 / sq ft"
1392,AGENT,3 BHK Apartment,Kollur, 1.26 Cr,"5,000 / sq ft"
1393,AGENT,3 BHK Apartment,Kollur, 1.03 Cr,"5,000 / sq ft"
1394,AGENT,3 BHK Apartment,Kollur, 1.03 Cr,"5,000 / sq ft"
1395,AGENT,3 BHK Apartment,Kollur, 98 L,"5,000 / sq ft"
1396,AGENT,3 BHK Apartment,Kollur, 98 L,"5,000 / sq ft"
1397,AGENT,4 BHK Villa,Mokila, 3.04 Cr,"8,000 / sq ft"
1398,AGENT,3 BHK Apartment,Balanagar, 1.35 Cr,"6,000 / sq ft"
1399,AGENT,3 BHK Apartment,Balanagar, 1.35 Cr,"6,000 / sq ft"
1400,AGENT,3 BHK Apartment,Balanagar, 90.4 L,"6,002 / sq ft"
1401,AGENT,3 BHK Apartment,Balanagar, 90.4 L,"6,002 / sq ft"
1402,AGENT,3 BHK Apartment,Balanagar, 1.35 Cr,"6,000 / sq ft"
1403,AGENT,3 BHK Apartment,Balanagar, 1.35 Cr,"6,000 / sq ft"
1404,AGENT,3 BHK Apartment,Balanagar, 90.4 L,"6,002 / sq ft"
1405,AGENT,3 BHK Apartment,Balanagar, 90.4 L,"6,002 / sq ft"
1406,AGENT,2 BHK Apartment,Gachibowli, 1.26 Cr,"8,500 / sq ft"
1407,AGENT,2 BHK Apartment,Gachibowli, 1.26 Cr,"8,500 / sq ft"
1408,AGENT,2 BHK Apartment,Gachibowli, 1.09 Cr,"8,500 / sq ft"
1409,AGENT,2 BHK Apartment,Gachibowli, 1.09 Cr,"8,500 / sq ft"
1410,AGENT,2 BHK Apartment,Gachibowli, 1.26 Cr,"8,500 / sq ft"
1411,AGENT,2 BHK Apartment,Gachibowli, 1.26 Cr,"8,500 / sq ft"
1412,AGENT,2 BHK Apartment,Gachibowli, 1.09 Cr,"8,500 / sq ft"
1413,AGENT,2 BHK Apartment,Gachibowli, 1.09 Cr,"8,500 / sq ft"
1414,AGENT,4 BHK Apartment,Gachibowli, 2.3 Cr,"8,500 / sq ft"
1415,AGENT,4 BHK Apartment,Gachibowli, 2.3 Cr,"8,500 / sq ft"
1416,AGENT,2 BHK Apartment,Gachibowli, 1.19 Cr,"8,500 / sq ft"
1417,AGENT,2 BHK Apartment,Gachibowli, 1.19 Cr,"8,500 / sq ft"
1418,AGENT,4 BHK Apartment,Kokapet, 4.34 Cr,"13,051 / sq ft"
1419,AGENT,4 BHK Apartment,Kokapet, 4.34 Cr,"13,051 / sq ft"
1420,AGENT,3 BHK Apartment,Kokapet, 2.49 Cr,"9,796 / sq ft"
1421,AGENT,3 BHK Apartment,Kokapet, 2.49 Cr,"9,796 / sq ft"
1422,AGENT,4 BHK Apartment,Kokapet, 4.34 Cr,"13,051 / sq ft"
1423,AGENT,4 BHK Apartment,Kokapet, 4.34 Cr,"13,051 / sq ft"
1424,AGENT,3 BHK Apartment,Kokapet, 2.49 Cr,"9,796 / sq ft"
1425,AGENT,3 BHK Apartment,Kokapet, 2.49 Cr,"9,796 / sq ft"
1426,AGENT,4 BHK Apartment,Kokapet, 3.49 Cr,"11,551 / sq ft"
1427,AGENT,4 BHK Apartment,Kokapet, 3.49 Cr,"11,551 / sq ft"
1428,AGENT,4 BHK Apartment,Kokapet, 4.8 Cr,"12,186 / sq ft"
1429,AGENT,4 BHK Apartment,Kokapet, 4.8 Cr,"12,186 / sq ft"
1430,AGENT,3 BHK Apartment,Kokapet, 1.4 Cr,"7,399 / sq ft"
1431,AGENT,3 BHK Apartment,Kokapet, 1.4 Cr,"7,399 / sq ft"
1432,AGENT,3 BHK Apartment,Kokapet, 1.56 Cr,"7,399 / sq ft"
1433,AGENT,3 BHK Apartment,Kokapet, 1.4 Cr,"7,399 / sq ft"
1434,AGENT,3 BHK Apartment,Kokapet, 1.4 Cr,"7,399 / sq ft"
1435,AGENT,3 BHK Apartment,Kokapet, 1.56 Cr,"7,399 / sq ft"
1436,AGENT,3 BHK Apartment,Kokapet, 1.56 Cr,"7,399 / sq ft"
1437,AGENT,5 BHK Apartment,Gachibowli, 6.09 Cr,"8,990 / sq ft"
1438,AGENT,5 BHK Apartment,Gachibowli, 6.09 Cr,"8,990 / sq ft"
1439,AGENT,4 BHK Apartment,Gachibowli, 3.73 Cr,"8,990 / sq ft"
1440,AGENT,4 BHK Apartment,Gachibowli, 3.73 Cr,"8,990 / sq ft"
1441,AGENT,3 BHK Apartment,Hitech City, 1.84 Cr,"8,299 / sq ft"
1442,AGENT,5 BHK Apartment,Gachibowli, 6.09 Cr,"8,990 / sq ft"
1443,AGENT,5 BHK Apartment,Gachibowli, 6.09 Cr,"8,990 / sq ft"
1444,AGENT,3 BHK Apartment,Hitech City, 1.84 Cr,"8,299 / sq ft"
1445,AGENT,2 BHK Apartment,Hitech City, 1.2 Cr,"8,299 / sq ft"
1446,AGENT,4 BHK Apartment,Gachibowli, 3.73 Cr,"8,990 / sq ft"
1447,AGENT,4 BHK Apartment,Gachibowli, 3.73 Cr,"8,990 / sq ft"
1448,AGENT,3 BHK Apartment,Hitech City, 1.84 Cr,"8,299 / sq ft"
1449,AGENT,3 BHK Apartment,Gachibowli, 2.61 Cr,"8,990 / sq ft"
1450,AGENT,2 BHK Apartment,Hitech City, 1.2 Cr,"8,299 / sq ft"
1451,AGENT,3 BHK Apartment,Gachibowli, 2.61 Cr,"8,990 / sq ft"
1452,AGENT,2 BHK Apartment,Hitech City, 1.2 Cr,"8,299 / sq ft"
1453,AGENT,4 BHK Apartment,Gachibowli, 3.71 Cr,"8,990 / sq ft"
1454,AGENT,4 BHK Apartment,Gachibowli, 3.71 Cr,"8,990 / sq ft"
1455,AGENT,3 BHK Apartment,Hitech City, 1.28 Cr,"8,299 / sq ft"
1456,AGENT,3 BHK Apartment,Hitech City, 1.28 Cr,"8,299 / sq ft"
1457,AGENT,5 BHK Apartment,Gachibowli, 7.72 Cr,"8,990 / sq ft"
1458,AGENT,5 BHK Apartment,Gachibowli, 7.72 Cr,"8,990 / sq ft"
1459,AGENT,2 BHK Apartment,Hitech City, 96.26 L,"8,299 / sq ft"
1460,AGENT,2 BHK Apartment,Hitech City, 96.26 L,"8,299 / sq ft"
1461,AGENT,4 BHK Apartment,Gachibowli, 4.22 Cr,"8,990 / sq ft"
1462,AGENT,4 BHK Apartment,Gachibowli, 4.22 Cr,"8,990 / sq ft"
1463,AGENT,4 BHK Apartment,Gachibowli, 3.62 Cr,"8,990 / sq ft"
1464,AGENT,4 BHK Apartment,Gachibowli, 3.62 Cr,"8,990 / sq ft"
1465,AGENT,5 BHK Apartment,Gachibowli, 6.41 Cr,"8,990 / sq ft"
1466,AGENT,5 BHK Apartment,Gachibowli, 6.41 Cr,"8,990 / sq ft"
1467,AGENT,5 BHK Apartment,Gachibowli, 7.4 Cr,"8,990 / sq ft"
1468,AGENT,5 BHK Apartment,Gachibowli, 7.4 Cr,"8,990 / sq ft"
1469,AGENT,4 BHK Apartment,Gachibowli, 4.04 Cr,"8,990 / sq ft"
1470,AGENT,4 BHK Apartment,Gachibowli, 4.04 Cr,"8,990 / sq ft"
1471,AGENT,3 BHK Apartment,Gachibowli, 2.81 Cr,"8,990 / sq ft"
1472,AGENT,3 BHK Apartment,Gachibowli, 2.81 Cr,"8,990 / sq ft"
1473,AGENT,4 BHK Apartment,Gachibowli, 4.15 Cr,"8,990 / sq ft"
1474,AGENT,4 BHK Apartment,Gachibowli, 4.15 Cr,"8,990 / sq ft"
1475,AGENT,4 BHK Apartment,Gachibowli, 4.1 Cr,"8,990 / sq ft"
1476,AGENT,4 BHK Apartment,Gachibowli, 4.1 Cr,"8,990 / sq ft"
1477,AGENT,5 BHK Apartment,Gachibowli, 6.43 Cr,"8,990 / sq ft"
1478,AGENT,5 BHK Apartment,Gachibowli, 6.43 Cr,"8,990 / sq ft"
1479,AGENT,5 BHK Apartment,Gachibowli, 6.48 Cr,"8,990 / sq ft"
1480,AGENT,5 BHK Apartment,Gachibowli, 6.48 Cr,"8,990 / sq ft"
1481,AGENT,5 BHK Apartment,Gachibowli, 6.01 Cr,"8,990 / sq ft"
1482,AGENT,5 BHK Apartment,Gachibowli, 6.01 Cr,"8,990 / sq ft"
1483,AGENT,5 BHK Apartment,Gachibowli, 6.8 Cr,"8,990 / sq ft"
1484,AGENT,5 BHK Apartment,Gachibowli, 6.8 Cr,"8,990 / sq ft"
1485,AGENT,5 BHK Apartment,Gachibowli, 6.79 Cr,"8,990 / sq ft"
1486,AGENT,5 BHK Apartment,Gachibowli, 6.79 Cr,"8,990 / sq ft"
1487,AGENT,4 BHK Apartment,Gachibowli, 3.96 Cr,"8,990 / sq ft"
1488,AGENT,4 BHK Apartment,Gachibowli, 3.96 Cr,"8,990 / sq ft"
1489,AGENT,4 BHK Apartment,Gachibowli, 3.58 Cr,"8,990 / sq ft"
1490,AGENT,4 BHK Apartment,Gachibowli, 3.58 Cr,"8,990 / sq ft"
1491,AGENT,5 BHK Apartment,Gachibowli, 7.24 Cr,"8,990 / sq ft"
1492,AGENT,5 BHK Apartment,Gachibowli, 7.24 Cr,"8,990 / sq ft"
1493,AGENT,5 BHK Apartment,Gachibowli, 6.29 Cr,"8,990 / sq ft"
1494,AGENT,5 BHK Apartment,Gachibowli, 6.29 Cr,"8,990 / sq ft"
1495,AGENT,4 BHK Apartment,Gachibowli, 4.07 Cr,"8,990 / sq ft"
1496,AGENT,4 BHK Apartment,Gachibowli, 4.07 Cr,"8,990 / sq ft"
1497,AGENT,4 BHK Apartment,Gachibowli, 3.6 Cr,"8,990 / sq ft"
1498,AGENT,4 BHK Apartment,Gachibowli, 3.6 Cr,"8,990 / sq ft"
1499,AGENT,4 BHK Apartment,Gachibowli, 3.99 Cr,"8,990 / sq ft"
1500,AGENT,4 BHK Apartment,Gachibowli, 3.99 Cr,"8,990 / sq ft"
1501,AGENT,4 BHK Apartment,Gachibowli, 3.49 Cr,"8,990 / sq ft"
1502,AGENT,4 BHK Apartment,Gachibowli, 3.49 Cr,"8,990 / sq ft"
1503,AGENT,4 BHK Apartment,Gachibowli, 4.31 Cr,"8,990 / sq ft"
1504,AGENT,4 BHK Apartment,Gachibowli, 4.31 Cr,"8,990 / sq ft"
1505,AGENT,5 BHK Apartment,Gachibowli, 6.65 Cr,"8,990 / sq ft"
1506,AGENT,5 BHK Apartment,Gachibowli, 6.65 Cr,"8,990 / sq ft"
1507,AGENT,3 BHK Apartment,Gachibowli, 2.36 Cr,"8,990 / sq ft"
1508,AGENT,3 BHK Apartment,Gachibowli, 2.36 Cr,"8,990 / sq ft"
1509,AGENT,4 BHK Apartment,Gachibowli, 3.55 Cr,"8,990 / sq ft"
1510,AGENT,4 BHK Apartment,Gachibowli, 3.55 Cr,"8,990 / sq ft"
1511,AGENT,5 BHK Apartment,Gachibowli, 6.25 Cr,"8,990 / sq ft"
1512,AGENT,5 BHK Apartment,Gachibowli, 6.25 Cr,"8,990 / sq ft"
1513,AGENT,4 BHK Apartment,Gachibowli, 4.34 Cr,"8,990 / sq ft"
1514,AGENT,4 BHK Apartment,Gachibowli, 4.34 Cr,"8,990 / sq ft"
1515,AGENT,5 BHK Independent House,Kokapet, 6.92 Cr,"8,900 / sq ft"
1516,AGENT,5 BHK Independent House,Kokapet, 6.92 Cr,"8,900 / sq ft"
1517,AGENT,5 BHK Independent House,Kokapet, 6.92 Cr,"8,900 / sq ft"
1518,AGENT,5 BHK Independent House,Kokapet, 6.92 Cr,"8,900 / sq ft"
1519,AGENT,4 BHK Apartment,Kokapet, 5.84 Cr,"8,900 / sq ft"
1520,AGENT,4 BHK Apartment,Kokapet, 5.84 Cr,"8,900 / sq ft"
1521,AGENT,5 BHK Apartment,Kokapet, 7.19 Cr,"8,900 / sq ft"
1522,AGENT,5 BHK Apartment,Kokapet, 7.19 Cr,"8,900 / sq ft"
1523,AGENT,4 BHK Apartment,Kokapet, 7.84 Cr,"8,900 / sq ft"
1524,AGENT,4 BHK Apartment,Kokapet, 7.84 Cr,"8,900 / sq ft"
1525,AGENT,4 BHK Villa,Mokila, 3.03 Cr,"8,000 / sq ft"
1526,AGENT,4 BHK Villa,Mokila, 3.03 Cr,"8,000 / sq ft"
1527,AGENT,4 BHK Villa,Mokila, 3.03 Cr,"8,000 / sq ft"
