,Owner,No_BHK,Location,price,sqfeet
1542,AGENT,3 BHK Apartment,Nanakramguda, 1.92 Cr,"8,652 / sq ft"
1543,AGENT,3 BHK Apartment,Nanakramguda, 1.92 Cr,"8,652 / sq ft"
1544,AGENT,3 BHK Apartment,Nanakramguda, 1.81 Cr,"8,199 / sq ft"
1545,AGENT,3 BHK Apartment,Nanakramguda, 1.81 Cr,"8,199 / sq ft"
1546,AGENT,Residential Plot,Sangareddy, 38 L,"2,528 / sq ft"
1547,AGENT,2 BHK Apartment,Mallapur, 58.93 L,"4,999 / sq ft"
1548,AGENT,3 BHK Apartment,Mallapur, 73.78 L,"4,999 / sq ft"
1549,AGENT,3 BHK Apartment,Mallapur, 69.28 L,"4,999 / sq ft"
1550,AGENT,3 BHK Apartment,Mallapur, 71.08 L,"4,999 / sq ft"
1551,AGENT,3 BHK Apartment,Mallapur, 67.93 L,"4,999 / sq ft"
1552,AGENT,3 BHK Apartment,Mallapur, 81.43 L,"4,999 / sq ft"
1553,AGENT,3 BHK Apartment,Mallapur, 71.53 L,"4,999 / sq ft"
1554,AGENT,3 BHK Apartment,Kompally, 1 Cr,"6,250 / sq ft"
1555,AGENT,3 BHK Apartment,Tellapur, 1.12 Cr,"5,000 / sq ft"
1556,AGENT,3 BHK Apartment,Hitech City, 1.05 Cr,"7,000 / sq ft"
1557,AGENT,3 BHK Apartment,Tellapur, 1.05 Cr,"5,833 / sq ft"
1558,AGENT,3 BHK Villa,Mokila, 2.07 Cr,"8,778 / sq ft"
1559,AGENT,3 BHK Villa,Mokila, 2.35 Cr,"8,453 / sq ft"
1560,AGENT,3 BHK Villa,Kollur, 1.5 Cr,"5,000 / sq ft"
1561,AGENT,3 BHK Apartment,Kondapur, 1.32 Cr,"8,301 / sq ft"
1562,AGENT,3 BHK Apartment,Kondapur, 1.57 Cr,"8,306 / sq ft"
1563,AGENT,3 BHK Apartment,Kondapur, 1.35 Cr,"8,517 / sq ft"
1564,AGENT,3 BHK Apartment,Narsingi, 91.17 L,"5,800 / sq ft"
1565,AGENT,3 BHK Apartment,Narsingi, 91.17 L,"5,800 / sq ft"
1566,AGENT,3 BHK Apartment,Narsingi, 88.5 L,"5,800 / sq ft"
1567,AGENT,3 BHK Apartment,Narsingi, 88.5 L,"5,800 / sq ft"
1568,AGENT,3 BHK Apartment,Narsingi, 91.17 L,"5,800 / sq ft"
1569,AGENT,3 BHK Apartment,Narsingi, 91.17 L,"5,800 / sq ft"
1570,AGENT,3 BHK Apartment,Narsingi, 88.5 L,"5,800 / sq ft"
1571,AGENT,3 BHK Apartment,Narsingi, 88.5 L,"5,800 / sq ft"
1572,AGENT,Residential Plot,Aroor, 75 L,"2,777 / sq ft"
1573,AGENT,Residential Plot,Aroor, 75 L,"2,777 / sq ft"
1574,AGENT,Residential Plot,Aroor, 60 L,"2,666 / sq ft"
1575,AGENT,Residential Plot,Aroor, 60 L,"2,666 / sq ft"
1576,AGENT,Residential Plot,Aroor, 52.8 L,"2,666 / sq ft"
1577,AGENT,Residential Plot,Aroor, 72 L,"2,666 / sq ft"
1578,AGENT,Residential Plot,Sangareddy, 42 L,"2,666 / sq ft"
1579,AGENT,Residential Plot,Sangareddy, 39.6 L,"2,666 / sq ft"
1580,AGENT,Residential Plot,Sangareddy, 23.4 L,"1,444 / sq ft"
1581,AGENT,Residential Plot,Sadashivpet, 45 L,"2,777 / sq ft"
1582,AGENT,Residential Plot,Aroor, 36 L,"2,000 / sq ft"
1583,AGENT,Residential Plot,Aroor, 50 L,"2,222 / sq ft"
1584,AGENT,2 BHK Apartment,Nallakunta, 65 L,"6,046 / sq ft"
1585,AGENT,Residential Plot,Sangareddy, 52 L,"1,925 / sq ft"
1586,AGENT,Residential Plot,Sangareddy, 35.34 L,"1,963 / sq ft"
1587,AGENT,Residential Plot,Sangareddy, 35 L,"1,944 / sq ft"
1588,AGENT,Residential Plot,Sangareddy, 34.04 L,"1,891 / sq ft"
1589,AGENT,Residential Plot,Sadashivpet, 24.5 L,"1,361 / sq ft"
1590,AGENT,4 BHK Villa,Tukkuguda, 3.34 Cr,"8,999 / sq ft"
1591,AGENT,4 BHK Villa,Tukkuguda, 3.33 Cr,"8,999 / sq ft"
1592,AGENT,3 BHK Apartment,Manikonda, 72.55 L,"5,138 / sq ft"
1593,AGENT,Residential Plot,Sangareddy, 54 L,"2,000 / sq ft"
1594,AGENT,Residential Plot,Aroor, 72 L,"2,666 / sq ft"
1595,AGENT,Residential Plot,Sadashivpet, 65 L,"2,777 / sq ft"
1596,AGENT,Residential Plot,Sangareddy, 54 L,"2,000 / sq ft"
1597,AGENT,Residential Plot,Aroor, 52 L,"2,222 / sq ft"
1598,AGENT,Residential Plot,Sangareddy, 50 L,"2,750 / sq ft"
1599,AGENT,2 BHK Apartment,Nallakunta, 57.5 L,"5,227 / sq ft"
1600,AGENT,2 BHK Apartment,Nallakunta, 57 L,"5,181 / sq ft"
1601,AGENT,3 BHK Apartment,Amberpet, 1.8 Cr,"8,181 / sq ft"
1602,AGENT,3 BHK Apartment,Nallakunta, 1.8 Cr,"8,181 / sq ft"
1603,AGENT,3 BHK Apartment,Serilingampally, 1.38 Cr,"7,352 / sq ft"
1604,AGENT,3 BHK Apartment,Serilingampally, 1.38 Cr,"8,598 / sq ft"
1605,AGENT,3 BHK Apartment,Serilingampally, 1.8 Cr,"7,086 / sq ft"
1606,AGENT,3 BHK Apartment,Serilingampally, 1.38 Cr,"7,352 / sq ft"
1607,AGENT,3 BHK Apartment,Serilingampally, 1.39 Cr,"8,660 / sq ft"
1608,AGENT,3 BHK Apartment,Serilingampally, 1.89 Cr,"7,115 / sq ft"
1609,AGENT,3 BHK Apartment,Miyapur, 1.46 Cr,"7,073 / sq ft"
1610,AGENT,3 BHK Apartment,Serilingampally, 1.38 Cr,"7,048 / sq ft"
1611,AGENT,3 BHK Apartment,Serilingampally, 1.8 Cr,"7,086 / sq ft"
1612,AGENT,Residential Plot,Aroor, 52.8 L,"2,666 / sq ft"
1613,AGENT,Residential Plot,Aroor, 39.6 L,"2,666 / sq ft"
1614,AGENT,Residential Plot,Aroor, 39.6 L,"2,000 / sq ft"
1615,AGENT,Residential Plot,Aroor, 49.5 L,"2,750 / sq ft"
1616,AGENT,3 BHK Apartment,Nallakunta, 85 L,"5,666 / sq ft"
1617,AGENT,3 BHK Apartment,Gandi Maisamma, 83 L,"5,269 / sq ft"
1618,AGENT,1 BHK Apartment,Dundigal, 30 L,"4,862 / sq ft"
1619,AGENT,2 BHK Apartment,Pragathi Nagar Kukatpally, 75 L,"5,716 / sq ft"
1620,AGENT,3 BHK Apartment,Pragathi Nagar Kukatpally, 1 Cr,"5,425 / sq ft"
1621,AGENT,3 BHK Apartment,Miyapur, 1.2 Cr,"7,547 / sq ft"
1622,AGENT,2 BHK Apartment,Gandi Maisamma, 60 L,"5,454 / sq ft"
1623,AGENT,2 BHK Villa,Kollur, 2.28 Cr,"8,500 / sq ft"
1624,AGENT,3 BHK Apartment,Manchirevula, 1.29 Cr,"6,000 / sq ft"
1625,AGENT,3 BHK Apartment,Manchirevula, 1.26 Cr,"6,000 / sq ft"
1626,AGENT,3 BHK Apartment,Manchirevula, 1.26 Cr,"6,000 / sq ft"
1627,AGENT,Residential Plot,Rudraram, 33 L,"22,000 / sq ft"
1628,AGENT,Residential Plot,Sangareddy, 34.5 L,"1,916 / sq ft"
1629,AGENT,Residential Plot,Sangareddy, 35.6 L,"1,987 / sq ft"
1630,AGENT,Residential Plot,Sangareddy, 35.8 L,"1,988 / sq ft"
1631,AGENT,Residential Plot,Sangareddy, 35.5 L,"1,972 / sq ft"
1632,AGENT,Residential Plot,Sangareddy, 36 L,"2,000 / sq ft"
1633,AGENT,Residential Plot,Peddapur, 24 L,"1,333 / sq ft"
1634,AGENT,Residential Plot,Sangareddy, 50 L,"2,777 / sq ft"
1635,AGENT,Residential Plot,Sangareddy, 39 L,"2,594 / sq ft"
1636,AGENT,Residential Plot,Sadashivpet, 24.99 L,"1,388 / sq ft"
1637,AGENT,Residential Plot,Kandi, 43.32 L,"2,111 / sq ft"
1638,AGENT,Residential Plot,Kandi, 44 L,"2,107 / sq ft"
1639,AGENT,Residential Plot,Kandi, 40.66 L,"2,111 / sq ft"
1640,AGENT,Residential Plot,Kandi, 36.86 L,"2,111 / sq ft"
1641,AGENT,Residential Plot,Kandi, 27.55 L,"2,111 / sq ft"
1642,AGENT,Residential Plot,Kandi, 29.26 L,"2,111 / sq ft"
1643,AGENT,Residential Plot,Kandi, 36.67 L,"2,111 / sq ft"
1644,AGENT,Residential Plot,Kandi, 36.1 L,"2,111 / sq ft"
1645,AGENT,Residential Plot,Kandi, 39.71 L,"2,111 / sq ft"
1646,AGENT,3 BHK Apartment,Ameerpet, 2.69 Cr,"11,000 / sq ft"
1647,AGENT,3 BHK Apartment,Ameerpet, 2.77 Cr,"11,000 / sq ft"
1648,AGENT,2 BHK Independent House,Munganoor, 68 L,"5,913 / sq ft"
1649,AGENT,3 BHK Apartment,Madhapur, 1.35 Cr,"8,544 / sq ft"
1650,AGENT,3 BHK Apartment,Nallakunta, 87 L,"5,800 / sq ft"
1651,AGENT,3 BHK Apartment,Nallakunta, 1.41 Cr,"9,096 / sq ft"
1652,AGENT,2 BHK Apartment,Nallakunta, 75 L,"6,250 / sq ft"
1653,AGENT,3 BHK Apartment,Nallakunta, 75 L,"5,769 / sq ft"
1654,AGENT,3 BHK Apartment,Amberpet, 84 L,"5,600 / sq ft"
1655,AGENT,2 BHK Apartment,Amberpet, 65 L,"5,909 / sq ft"
1656,AGENT,3 BHK Apartment,Amberpet, 1.4 Cr,"9,032 / sq ft"
1657,AGENT,3 BHK Independent House,Puppalaguda, 2.1 Cr,"11,666 / sq ft"
1658,AGENT,Residential Plot,Aroor, 29.9 L,"1,661 / sq ft"
1659,AGENT,Residential Plot,Aroor, 31 L,"15,500 / sq ft"
1660,AGENT,2 BHK Apartment,Nallakunta, 42 L,"4,200 / sq ft"
1661,AGENT,2 BHK Apartment,Amberpet, 65 L,"5,909 / sq ft"
1662,AGENT,2 BHK Apartment,Nallakunta, 35 L,"4,117 / sq ft"
1663,AGENT,3 BHK Apartment,Kompally, 62.07 L,"4,100 / sq ft"
1664,AGENT,3 BHK Apartment,Kompally, 63.79 L,"4,100 / sq ft"
1665,AGENT,2 BHK Apartment,Kompally, 50.63 L,"4,100 / sq ft"
1666,AGENT,2 BHK Apartment,Kompally, 54.57 L,"4,100 / sq ft"
1667,AGENT,2 BHK Independent House,Nadergul, 72 L,"6,260 / sq ft"
1668,AGENT,3 BHK Apartment,Ameenpur, 76.78 L,"4,799 / sq ft"
1669,AGENT,2 BHK Apartment,Ameenpur, 57.48 L,"4,999 / sq ft"
1670,AGENT,3 BHK Apartment,Chandanagar, 76.78 L,"4,799 / sq ft"
1671,AGENT,2 BHK Apartment,Miyapur, 53.48 L,"4,999 / sq ft"
1672,AGENT,Residential Plot,Kadthal, 23.99 L,"1,333 / sq ft"
1673,AGENT,Residential Plot,Kadthal, 17.99 L,"1,333 / sq ft"
1674,AGENT,Residential Plot,Kadthal, 19.79 L,"1,333 / sq ft"
1675,AGENT,Residential Plot,Kadthal, 29.99 L,"1,333 / sq ft"
1676,AGENT,Residential Plot,Kadthal, 26.99 L,"1,333 / sq ft"
1677,AGENT,Residential Plot,Aroor, 17.5 L,"3,500 / sq ft"
1678,AGENT,Residential Plot,Rudraram, 63.5 L,"2,777 / sq ft"
1679,AGENT,Residential Plot,Rudraram, 63.5 L,"2,777 / sq ft"
1680,AGENT,Residential Plot,Rudraram, 76.5 L,"2,777 / sq ft"
1681,AGENT,Residential Plot,Rudraram, 76.5 L,"2,777 / sq ft"
1682,AGENT,Residential Plot,Rudraram, 63.5 L,"2,777 / sq ft"
1683,AGENT,Residential Plot,Rudraram, 63.5 L,"2,777 / sq ft"
1684,AGENT,Residential Plot,Rudraram, 76.5 L,"2,777 / sq ft"
1685,AGENT,Residential Plot,Rudraram, 76.5 L,"2,777 / sq ft"
1686,AGENT,Residential Plot,Rudraram, 1 Cr,"2,777 / sq ft"
1687,AGENT,Residential Plot,Rudraram, 1 Cr,"2,777 / sq ft"
1688,AGENT,Residential Plot,Rudraram, 50 L,"2,777 / sq ft"
1689,AGENT,Residential Plot,Rudraram, 50 L,"2,777 / sq ft"
1690,AGENT,Residential Plot,Rudraram, 41.75 L,"2,777 / sq ft"
1691,AGENT,Residential Plot,Rudraram, 41.75 L,"2,777 / sq ft"
1692,AGENT,Residential Plot,Rudraram, 38.5 L,"2,777 / sq ft"
1693,AGENT,Residential Plot,Rudraram, 38.5 L,"2,777 / sq ft"
1694,AGENT,Residential Plot,Rudraram, 39.25 L,"2,777 / sq ft"
1695,AGENT,Residential Plot,Rudraram, 39.25 L,"2,777 / sq ft"
1696,AGENT,Residential Plot,Rudraram, 37.75 L,"2,777 / sq ft"
1697,AGENT,Residential Plot,Rudraram, 37.75 L,"2,777 / sq ft"
1698,AGENT,Residential Plot,Rudraram, 73.5 L,"2,777 / sq ft"
1699,AGENT,Residential Plot,Rudraram, 73.5 L,"2,777 / sq ft"
1700,AGENT,Residential Plot,Rudraram, 57.6 L,"2,666 / sq ft"
1701,AGENT,Residential Plot,Rudraram, 57.6 L,"2,666 / sq ft"
1702,AGENT,Residential Plot,Rudraram, 69.6 L,"2,666 / sq ft"
1703,AGENT,Residential Plot,Rudraram, 69.6 L,"2,666 / sq ft"
1704,AGENT,Residential Plot,Rudraram, 57.6 L,"2,666 / sq ft"
1705,AGENT,Residential Plot,Rudraram, 57.6 L,"2,666 / sq ft"
1706,AGENT,Residential Plot,Rudraram, 69.6 L,"2,666 / sq ft"
1707,AGENT,Residential Plot,Rudraram, 69.6 L,"2,666 / sq ft"
1708,AGENT,Residential Plot,Rudraram, 48.96 L,"2,666 / sq ft"
1709,AGENT,Residential Plot,Rudraram, 48.96 L,"2,666 / sq ft"
1710,AGENT,Residential Plot,Rudraram, 72 L,"2,666 / sq ft"
1711,AGENT,Residential Plot,Rudraram, 72 L,"2,666 / sq ft"
1712,AGENT,Residential Plot,Rudraram, 52.8 L,"2,666 / sq ft"
1713,AGENT,Residential Plot,Rudraram, 52.8 L,"2,666 / sq ft"
1714,AGENT,Residential Plot,Rudraram, 64.8 L,"2,666 / sq ft"
1715,AGENT,Residential Plot,Rudraram, 64.8 L,"2,666 / sq ft"
1716,AGENT,Residential Plot,Rudraram, 67.2 L,"2,666 / sq ft"
1717,AGENT,Residential Plot,Rudraram, 67.2 L,"2,666 / sq ft"
1718,AGENT,Residential Plot,Rudraram, 50.4 L,"2,666 / sq ft"
1719,AGENT,Residential Plot,Rudraram, 50.4 L,"2,666 / sq ft"
1720,AGENT,Residential Plot,Rudraram, 60 L,"2,666 / sq ft"
1721,AGENT,Residential Plot,Rudraram, 60 L,"2,666 / sq ft"
1722,AGENT,Residential Plot,Rudraram, 62.4 L,"2,666 / sq ft"
1723,AGENT,Residential Plot,Rudraram, 62.4 L,"2,666 / sq ft"
1724,AGENT,Residential Plot,Rudraram, 55.2 L,"2,666 / sq ft"
1725,AGENT,Residential Plot,Rudraram, 55.2 L,"2,666 / sq ft"
1726,AGENT,Residential Plot,Sadashivpet, 62.5 L,"2,777 / sq ft"
1727,AGENT,1 BHK Apartment,Nallakunta, 30 L,"5,454 / sq ft"
1728,AGENT,Residential Plot,Ghatkesar, 30.56 L,"1,780 / sq ft"
1729,AGENT,Residential Plot,Ghatkesar, 27.68 L,"1,774 / sq ft"
1730,AGENT,Residential Plot,Sadashivpet, 55 L,"2,777 / sq ft"
1731,AGENT,Residential Plot,Sadashivpet, 50 L,"25,000 / sq ft"
1732,AGENT,Residential Plot,Sangareddy, 5.22 Cr,"20,000 / sq ft"
1733,AGENT,Residential Plot,Aroor, 45.6 L,"2,666 / sq ft"
1734,AGENT,4 BHK Independent House,Malakpet, 1.82 Cr,"8,125 / sq ft"
1735,AGENT,6 BHK Independent House,Malakpet, 2.55 Cr,"9,444 / sq ft"
1736,AGENT,3 BHK Apartment,Nallakunta, 1.31 Cr,"8,451 / sq ft"
1737,AGENT,2 BHK Independent House,Neredmet, 1 Cr,"6,157 / sq ft"
1738,AGENT,3 BHK Apartment,Serilingampally, 1.72 Cr,"7,499 / sq ft"
1739,AGENT,3 BHK Apartment,Serilingampally, 1.72 Cr,"7,499 / sq ft"
1740,AGENT,2 BHK Apartment,Serilingampally, 1.13 Cr,"7,499 / sq ft"
1741,AGENT,2 BHK Apartment,Serilingampally, 1.13 Cr,"7,499 / sq ft"
1742,AGENT,3 BHK Apartment,Serilingampally, 1.72 Cr,"7,499 / sq ft"
1743,AGENT,3 BHK Apartment,Serilingampally, 1.72 Cr,"7,499 / sq ft"
1744,AGENT,2 BHK Apartment,Serilingampally, 1.13 Cr,"7,499 / sq ft"
1745,AGENT,2 BHK Apartment,Serilingampally, 1.13 Cr,"7,499 / sq ft"
1746,AGENT,3 BHK Apartment,Serilingampally, 1.28 Cr,"7,499 / sq ft"
1747,AGENT,3 BHK Apartment,Serilingampally, 1.28 Cr,"7,499 / sq ft"
1748,AGENT,3 BHK Apartment,Serilingampally, 1.16 Cr,"7,499 / sq ft"
1749,AGENT,3 BHK Apartment,Serilingampally, 1.16 Cr,"7,499 / sq ft"
1750,AGENT,3 BHK Apartment,Serilingampally, 1.31 Cr,"7,499 / sq ft"
1751,AGENT,3 BHK Apartment,Serilingampally, 1.31 Cr,"7,499 / sq ft"
1752,AGENT,2 BHK Apartment,Serilingampally, 91.86 L,"7,499 / sq ft"
1753,AGENT,2 BHK Apartment,Serilingampally, 91.86 L,"7,499 / sq ft"
1754,AGENT,3 BHK Apartment,Serilingampally, 1.27 Cr,"7,499 / sq ft"
1755,AGENT,3 BHK Apartment,Serilingampally, 1.27 Cr,"7,499 / sq ft"
1756,AGENT,3 BHK Apartment,Serilingampally, 1.49 Cr,"7,499 / sq ft"
1757,AGENT,3 BHK Apartment,Serilingampally, 1.49 Cr,"7,499 / sq ft"
1758,AGENT,3 BHK Apartment,Serilingampally, 1.4 Cr,"7,499 / sq ft"
1759,AGENT,3 BHK Apartment,Serilingampally, 1.4 Cr,"7,499 / sq ft"
1760,AGENT,2 BHK Apartment,Serilingampally, 1.21 Cr,"7,499 / sq ft"
1761,AGENT,2 BHK Apartment,Serilingampally, 1.21 Cr,"7,499 / sq ft"
1762,AGENT,2 BHK Apartment,Serilingampally, 1.1 Cr,"7,499 / sq ft"
1763,AGENT,2 BHK Apartment,Serilingampally, 1.1 Cr,"7,499 / sq ft"
1764,AGENT,3 BHK Apartment,Serilingampally, 1.43 Cr,"7,499 / sq ft"
1765,AGENT,3 BHK Apartment,Serilingampally, 1.43 Cr,"7,499 / sq ft"
1766,AGENT,3 BHK Apartment,Serilingampally, 1.24 Cr,"7,499 / sq ft"
1767,AGENT,3 BHK Apartment,Serilingampally, 1.24 Cr,"7,499 / sq ft"
1768,AGENT,3 BHK Apartment,Serilingampally, 1.34 Cr,"7,499 / sq ft"
1769,AGENT,3 BHK Apartment,Serilingampally, 1.34 Cr,"7,499 / sq ft"
1770,AGENT,3 BHK Apartment,Serilingampally, 1.49 Cr,"7,499 / sq ft"
1771,AGENT,3 BHK Apartment,Serilingampally, 1.49 Cr,"7,499 / sq ft"
1772,AGENT,4 BHK Apartment,Kokapet, 2.35 Cr,"8,677 / sq ft"
1773,AGENT,3 BHK Apartment,Kokapet, 2.03 Cr,"9,557 / sq ft"
1774,AGENT,3 BHK Apartment,Kokapet, 1.5 Cr,"8,351 / sq ft"
1775,AGENT,Residential Plot,Patancheru, 47.58 L,"2,888 / sq ft"
1776,AGENT,Residential Plot,Patancheru, 48.1 L,"2,888 / sq ft"
1777,AGENT,Residential Plot,Patancheru, 52.52 L,"2,888 / sq ft"
1778,AGENT,2 BHK Apartment,Nallakunta, 57 L,"5,700 / sq ft"
1779,AGENT,Residential Plot,Sadashivpet, 21 L,"1,555 / sq ft"
1780,AGENT,3 BHK Apartment,Kondapur, 1.78 Cr,"8,400 / sq ft"
1781,AGENT,3 BHK Apartment,Kondapur, 1.8 Cr,"8,470 / sq ft"
1782,AGENT,4 BHK Apartment,Kokapet, 3.2 Cr,"9,467 / sq ft"
1783,AGENT,Residential Plot,Sadashivpet, 27.3 L,"1,555 / sq ft"
1784,AGENT,Residential Plot,Sadashivpet, 25.2 L,"1,555 / sq ft"
1785,AGENT,Residential Plot,Sadashivpet, 25.9 L,"1,555 / sq ft"
1786,AGENT,Residential Plot,Sadashivpet, 29.4 L,"1,555 / sq ft"
1787,AGENT,Residential Plot,Sadashivpet, 35.14 L,"1,555 / sq ft"
1788,AGENT,Residential Plot,Sadashivpet, 25.48 L,"1,555 / sq ft"
1789,AGENT,Residential Plot,Sadashivpet, 24.5 L,"1,555 / sq ft"
1790,AGENT,Residential Plot,Sadashivpet, 21.7 L,"1,555 / sq ft"
1791,AGENT,Residential Plot,Sadashivpet, 20.58 L,"1,555 / sq ft"
1792,AGENT,Residential Plot,Sadashivpet, 23.8 L,"1,555 / sq ft"
1793,AGENT,Residential Plot,Sadashivpet, 24.22 L,"1,555 / sq ft"
1794,AGENT,Residential Plot,Sadashivpet, 31.08 L,"1,555 / sq ft"
1795,AGENT,Residential Plot,Sadashivpet, 32.2 L,"1,555 / sq ft"
1796,AGENT,Residential Plot,Sadashivpet, 22.12 L,"1,555 / sq ft"
1797,AGENT,Residential Plot,Sadashivpet, 22.9 L,"1,542 / sq ft"
1798,AGENT,3 BHK Apartment,Somajiguda, 3 Cr,"14,286 / sq ft"
1799,AGENT,3 BHK Apartment,Somajiguda, 3 Cr,"14,286 / sq ft"
1800,AGENT,4 BHK Apartment,Somajiguda, 6.33 Cr,"16,667 / sq ft"
1801,AGENT,4 BHK Apartment,Somajiguda, 6.33 Cr,"16,667 / sq ft"
1802,AGENT,3 BHK Apartment,Somajiguda, 3 Cr,"14,286 / sq ft"
1803,AGENT,3 BHK Apartment,Somajiguda, 3 Cr,"14,286 / sq ft"
1804,AGENT,4 BHK Apartment,Somajiguda, 6.33 Cr,"16,667 / sq ft"
1805,AGENT,4 BHK Apartment,Somajiguda, 6.33 Cr,"16,667 / sq ft"
1806,AGENT,Residential Plot,Sadashivpet, 36.12 L,"1,555 / sq ft"
1807,AGENT,Residential Plot,Sadashivpet, 46.62 L,"1,555 / sq ft"
1808,AGENT,Residential Plot,Sadashivpet, 30.52 L,"1,555 / sq ft"
1809,AGENT,Residential Plot,Sadashivpet, 31.5 L,"1,555 / sq ft"
1810,AGENT,Residential Plot,Sadashivpet, 24.08 L,"1,555 / sq ft"
1811,AGENT,Residential Plot,Sadashivpet, 64.12 L,"1,555 / sq ft"
1812,AGENT,Residential Plot,Sadashivpet, 32.34 L,"1,555 / sq ft"
1813,AGENT,Residential Plot,Sadashivpet, 35.56 L,"1,555 / sq ft"
1814,AGENT,Residential Plot,Sadashivpet, 52.36 L,"1,555 / sq ft"
1815,AGENT,Residential Plot,Sadashivpet, 45.08 L,"1,555 / sq ft"
1816,AGENT,Residential Plot,Sadashivpet, 20.57 L,"1,554 / sq ft"
1817,AGENT,Residential Plot,Sadashivpet, 35 L,"1,555 / sq ft"
1818,AGENT,Residential Plot,Sadashivpet, 44.8 L,"1,600 / sq ft"
1819,AGENT,Residential Plot,Sadashivpet, 43.8 L,"1,554 / sq ft"
1820,AGENT,2 BHK Apartment,Chandanagar, 68 L,"4,121 / sq ft"
1821,AGENT,4 BHK Apartment,Serilingampally, 6.81 Cr,"12,500 / sq ft"
1822,AGENT,4 BHK Apartment,Serilingampally, 6.81 Cr,"12,500 / sq ft"
1823,AGENT,4 BHK Apartment,Serilingampally, 8.25 Cr,"12,499 / sq ft"
1824,AGENT,4 BHK Apartment,Serilingampally, 8.25 Cr,"12,499 / sq ft"
1825,AGENT,4 BHK Apartment,Serilingampally, 6.81 Cr,"12,500 / sq ft"
1826,AGENT,4 BHK Apartment,Serilingampally, 6.81 Cr,"12,500 / sq ft"
1827,AGENT,4 BHK Apartment,Serilingampally, 8.25 Cr,"12,499 / sq ft"
1828,AGENT,4 BHK Apartment,Serilingampally, 8.25 Cr,"12,499 / sq ft"
1829,AGENT,3 BHK Apartment,Amberpet, 93 L,"6,413 / sq ft"
1830,AGENT,2 BHK Apartment,Bolarum, 51.97 L,"4,500 / sq ft"
1831,AGENT,2 BHK Apartment,Bolarum, 51.97 L,"4,500 / sq ft"
1832,AGENT,2 BHK Apartment,Bolarum, 51.97 L,"4,500 / sq ft"
1833,AGENT,Residential Plot,Ibrahimpatnam, 4 L,333 / sq ft
1834,AGENT,Residential Plot,Ibrahimpatnam, 3.36 L,311 / sq ft
1835,AGENT,Residential Plot,Sangareddy, 35.88 L,"1,993 / sq ft"
1836,AGENT,Residential Plot,Aroor, 28 L,"1,728 / sq ft"
1837,AGENT,Residential Plot,Sadashivpet, 25 L,"1,388 / sq ft"
1838,AGENT,Residential Plot,Sangareddy, 35 L,"1,944 / sq ft"
1839,AGENT,3 BHK Apartment,Amberpet, 1.65 Cr,"8,250 / sq ft"
1840,AGENT,3 BHK Apartment,Amberpet, 1.65 Cr,"8,250 / sq ft"
1841,AGENT,Residential Plot,Sadashivpet, 34.76 L,"1,551 / sq ft"
1842,AGENT,Residential Plot,Sadashivpet, 45.9 L,"1,667 / sq ft"
1843,AGENT,Residential Plot,Sadashivpet, 30.3 L,"1,667 / sq ft"
1844,AGENT,Residential Plot,Sadashivpet, 27.75 L,"1,667 / sq ft"
1845,AGENT,Residential Plot,Sadashivpet, 45.9 L,"1,667 / sq ft"
1846,AGENT,Residential Plot,Sadashivpet, 45.9 L,"1,667 / sq ft"
1847,AGENT,Residential Plot,Sadashivpet, 30.3 L,"1,667 / sq ft"
1848,AGENT,Residential Plot,Sadashivpet, 30.3 L,"1,667 / sq ft"
1849,AGENT,Residential Plot,Sadashivpet, 27.75 L,"1,667 / sq ft"
1850,AGENT,Residential Plot,Sadashivpet, 27.75 L,"1,667 / sq ft"
1851,AGENT,Residential Plot,Sadashivpet, 45.9 L,"1,667 / sq ft"
1852,AGENT,Residential Plot,Sadashivpet, 45.9 L,"1,667 / sq ft"
1853,AGENT,Residential Plot,Sadashivpet, 30.3 L,"1,667 / sq ft"
1854,AGENT,Residential Plot,Sadashivpet, 30.3 L,"1,667 / sq ft"
1855,AGENT,Residential Plot,Sadashivpet, 27.75 L,"1,667 / sq ft"
1856,AGENT,Residential Plot,Sadashivpet, 27.75 L,"1,667 / sq ft"
1857,AGENT,Residential Plot,Mansanpally, 25.61 L,"1,555 / sq ft"
1858,AGENT,Residential Plot,Mirkhanpet, 11.09 L,"1,111 / sq ft"
1859,AGENT,Residential Plot,Tukkuguda, 39.99 L,"2,222 / sq ft"
1860,AGENT,Residential Plot,Nandiwanaparthy, 17.38 L,"1,055 / sq ft"
1861,AGENT,Residential Plot,Mirkhanpet, 22.27 L,"1,500 / sq ft"
1862,AGENT,Residential Plot,Tukkuguda, 44 L,"2,222 / sq ft"
1863,AGENT,Residential Plot,Kandukur, 2.22 Cr,"14,968 / sq ft"
1864,AGENT,Residential Plot,Yacharam, 15.67 L,"1,055 / sq ft"
1865,AGENT,Residential Plot,Mirkhanpet, 19.72 L,"1,611 / sq ft"
1866,AGENT,Residential Plot,Nandiwanaparthy, 15.67 L,"1,055 / sq ft"
1867,AGENT,Residential Plot,Kandukur, 22.27 L,"1,500 / sq ft"
1868,AGENT,Residential Plot,Shadnagar, 1.05 Cr,"1,667 / sq ft"
1869,AGENT,Residential Plot,Shadnagar, 90.01 L,"1,667 / sq ft"
1870,AGENT,Residential Plot,Shadnagar, 1.05 Cr,"1,667 / sq ft"
1871,AGENT,Residential Plot,Shadnagar, 1.05 Cr,"1,667 / sq ft"
